index,s1,r,s2
4,Ferrari,in,Tokyo
4,J50,in,National Art Center
4,J50,in,Tokyo
4,J50 ' s targa body,in,National Art Center
4,J50 ' s targa body,in,Tokyo
4,50th anniversary,in,Japan
4,50th anniversary,in,Ferrari
4,Japan,has revealed,surprise limited-edition model
4,Ferrari,has revealed,surprise limited-edition model
4,surprise limited-edition model,called,J50
4,J50,during,celebration event
4,celebration event,held at,National Art Center
4,National Art Center,in,Tokyo
4,488 Spider,is,"two-seater , mid-rear-engined roadster"
4,J50,is,"two-seater , mid-rear-engined roadster"
4,"two-seater , mid-rear-engined roadster",with,some striking styling
4,most fabled Ferraris,in,last 50 years
4,J50 ' s targa body,is,direct throwback
4,direct throwback,to,Ferrari
4,direct throwback,to,GTS
4,direct throwback,to,range
4,Ferrari,from,1970s and 1980s
4,GTS,from,1970s and 1980s
4,range,from,1970s and 1980s
4,1970s and 1980s,spawned,iconic models
4,iconic models,as,Dino 246 GTS
4,iconic models,as,308 GTS
4,ten J50s,will be bespoke to,customer requirements
4,every example,will be bespoke to,customer requirements
4,Powering,is,3.9-liter V8 engine
4,J50,is,3.9-liter V8 engine
4,681 hp,through,seven-speed double-clutch transmission
4,488 Spider,achieved,0-62 mph time of 3 seconds
4,488 Spider,achieved,top speed of 202 mph
4,0-62 mph time of 3 seconds,with,extra 20 horses we
4,top speed of 202 mph,with,extra 20 horses we
4,extra 20 horses we,expect,J50
4,The distinctive dividing line,sloping across,doors
4,doors,is,nod
4,nod,to,iconic F40
4,nod,to,F50
4,iconic F40,while,""" helmet visor "" effect"
4,F50,while,""" helmet visor "" effect"
4,""" helmet visor "" effect",seen in,windows
4,Ferrari ' s open competition barchettas,from,1950s
5,cars,as,How many times
5,How many times,pronounce,Porsche
5,great debates,among,car fanatics
5,Porsche,with,two syllables
5,two syllables,than,plenty of people
5,car fan,mispronounced,time
5,hearing,mispronounced,time
5,time,makes,your ears
5,short,of,fact
5,matter,of,fact
5,fact,in,cheek
5,fact,in,video
5,cheek,lasting,only 15 seconds
5,cheek,lasting,everyone
5,video,lasting,only 15 seconds
5,video,lasting,everyone
5,only 15 seconds,on,proper way
5,everyone,on,proper way
5,proper way,to,"Porsche "" ( Por-Sher )"
6,Apple,in,Autonomous technology
6,Ford,in,Autonomous technology
6,GM,in,Autonomous technology
6,Autonomous technology,in,Michigan
6,Apple,in,Michigan
6,Ford,in,Michigan
6,GM,in,Michigan
6,Wired,in,Michigan
6,state of Michigan,in,Michigan
6,The fact of matter,in,southeast Michigan
6,The fact of matter,in,Transportation Director Kirk Steudle
6,Autonomous technology,is,hot topic
6,hot topic,in,car industry
6,Autonomous technology,has,naysayers
6,naysayers,are,plenty
6,plenty,of,companies
6,companies,envisioning,future of self-driving cars
6,future of self-driving cars,with,recent revelation
6,recent revelation,that,Apple
6,Apple,is investing in,technology
6,technology,while,manufactures
6,manufactures,as,Ford
6,manufactures,as,GM
6,Ford,are aiming to have,autonomous cars
6,GM,are aiming to have,autonomous cars
6,autonomous cars,in,next few years
6,step,to,reality
6,step,to,Wired
6,reality,reports that,state of Michigan
6,Wired,reports that,state of Michigan
6,state of Michigan,has become,first state
6,state of Michigan,has become,autonomous cars
6,first state,on,public roads
6,autonomous cars,on,public roads
6,public roads,without,drivers
6,public roads,without,steering wheels
6,laws,relating to,autonomous driving
6,autonomous driving,s,little cohesion
6,California,for,example
6,example,requires,backup driver
6,The fact of matter,is,75 percent of companies
6,75 percent of companies,are doing,research
6,75 percent of companies,are doing,development
6,research,in,space
6,development,in,space
6,space,are in,southeast Michigan
6,space,are in,Transportation Director Kirk Steudle
6,automakers,like,Ford
6,Ford,have,green light
6,Ford,have,self-driving cars of future
6,green light,on,public roads
6,self-driving cars of future,on,public roads
6,public roads,in,Michigan
6,public roads,in,Autonomous technology
6,law,applies to,companies
6,companies,as,Google
7,"Last week ' s episode of "" The Grand Tour",hit,right marks
7,"Last week ' s episode of "" The Grand Tour",featured,awesome cars
7,awesome cars,taking,road trip
7,road trip,in,exotic locale
7,"Last week ' s episode of "" The Grand Tour",felt like,""" Top Gear"
7,""" Top Gear",is,good thing
7,That run of success,looks primed to continue,week
7,week,as,Amazon
7,trailer,for,"fourth episode of "" The Grand Tour"
7,England,leaving for,Italy
7,England,leaving for,some other far-off land
7,time they aren ' t,leaving for,Italy
7,time they aren ' t,leaving for,some other far-off land
7,Italy,are,The trio
7,some other far-off land,are,The trio
7,The trio,driving,glamorous cars
7,guys,are building,own cars
7,own cars,with,goal
7,goal,being to create,most eco-friendly vehicle
7,most eco-friendly vehicle,using,truly sustainable materials
7,The video description,mentions that,custom cars
7,custom cars,will be taking,part
7,part,in,""" green motorsport event"
7,"Last week ' s episode of "" The Grand Tour",s,guys
7,guys,building,own cars
7,ridiculous fashion,at,some point
7,some point,during,"fourth episode of "" The Grand Tour"
7,James May,is,early front-runner
7,custom job,is,early front-runner
7,early front-runner,finish,entire episode
7,entire episode,is unless,custom job
7,custom job,does double as,boat
7,boat,like,trailer
7,custom car challenge,may be,main centerpiece
7,main centerpiece,from,review
7,review,in,studio
7,An entire episode,centering around,custom-built eco-cars
8,Lamborghini ' s test drivers,in,"Huracan "" Super Light"
8,Lamborghini,has been keeping,details
8,details,about,Huracan Superleggera light ( pun intended )
8,Huracan Superleggera light ( pun intended ),for,time
8,test mules,in,heavy camouflage
8,heavy camouflage,revealing,nothing
8,persistent spy photographers,caught,Lamborghini ' s test drivers
8,Lamborghini ' s test drivers,having,another
8,another,go in,"Huracan "" Super Light"
8,"Huracan "" Super Light",in,slippery white stuff
8,snow,made,anything
8,half,because,camouflage
8,camouflage,served to help,bull blend
8,bull blend,in,half
8,half,because,anything
8,well-documented fact,that,Lamborghini owners
8,Lamborghini owners,enjoy taking,high-horsepower machines
8,high-horsepower machines,on,sideways excursions
8,sideways excursions,around,ski cabins
8,ski cabins,was,test drivers
8,test drivers,doing,leg work
8,Huracan Superleggera,s,anything save
8,anything save,for,center-locking bolts
8,center-locking bolts,on,wheels
8,wheels,replace,five-bolt wheels we
8,large rear wing,in,front
8,large rear wing,in,aggressive face
8,spoiler,in,front
8,spoiler,in,aggressive face
8,front,will leave,competitors
8,front,will leave,onlookers
8,aggressive face,will leave,competitors
8,aggressive face,will leave,onlookers
9,Last week Bugatti Chiron,in,Germany
9,McLaren F1,in,New Zealand
9,GTspirit,in,Tokyo
9,GTspirit,in,Japan
9,Last week Bugatti Chiron,crashed into,ditch
9,ditch,in,Germany
9,McLaren F1,suffered,similar fate
9,similar fate,in,New Zealand
9,GTspirit,reports that,someone
9,someone,has crashed,prestigious Pagani Zonda
9,prestigious Pagani Zonda,in,Tokyo
9,prestigious Pagani Zonda,in,Japan
9,Pagani Zonda,was,one-off special edition
9,driver,survived,crash
9,crash,involved,Maybach 62S
9,The circumstances of accident,goes without saying that,supercar
9,hands of inexperienced driver,so,The circumstances of accident
9,The bespoke Zonda Zozo,was built by,Pagani
9,Pagani,delivered to,business owner Yusaku Maezawa
9,Pagani,delivered to,founder of online Japanese clothing company ZozoTown
9,part,of,Pagani
9,part,of,exclusive 760 range
9,Pagani,earns,name
9,exclusive 760 range,earns,name
9,name,from,760 hp
9,760 hp,generated by,naturally-aspirated 7.3-liter V12 engine
9,most distinctive models,in,range
9,range,with,striking purple carbon-fiber exterior
9,striking purple carbon-fiber exterior,to,Lewis Hamilton
10,S curves,in,""" SUV"
10,S curves,in,""" SUV"
10,Los Angeles,is,car capital
10,car capital,of,nation
10,city limits,contain,3.8 million people
10,3.8 million people,while,18.6 million
10,18.6 million,within,Greater Los Angeles Area
10,car,had become,mainstay
10,mainstay,in,American culture
10,American culture,making,paint job
10,paint job,without,( although travel can be slow even with car in LA )
10,need,for,cars
10,need,for,city
10,cars,s,affinity
10,city,s,affinity
10,Alfa Romeo,to,LA
10,Stelvio,to,LA
10,Time lapse videos,can be,paint job
10,paint job,appears to have taken,artists short amount of time
10,paint job,appears to have taken,mural
10,artists short amount of time,given,paint job
10,mural,given,paint job
10,The feat,is,telling
10,telling,is,Alfa Romeo ' s approach
10,Alfa Romeo ' s approach,to,advertisement
10,paint job,are,no catchy slogans
10,paint job,are,no lifestyle images
10,paint job,are,just one sexy Italian car
10,paint job,are,winding road
10,This banks,on,two main selling points
10,two main selling points,being,driver
10,Stelvio,is intended as,""" SUV"
10,""" SUV",for,S curves
10,""" SUV",for,name
10,""" SUV",for,image
10,BMW X and Mercedes GLE SUVs,are plastered on,wall
10,wall,in,hopes
10,hopes,that,attention-seeking Angelenos
10,attention-seeking Angelenos,will bite,bait
11,Bugatti,is,""" "" model"
11,Bugatti,is,something it
11,video game,s,Bugatti
11,Bugatti,s,Bugatti
11,Bugatti,offers,few styling clues
11,what we,can expect to see on,upcoming Veyron successor
11,what we,can expect to see on,"Chiron , ' ll debut"
11,Veyron,s in,past
11,design,s in,past
11,past,been compared to,beached whale
11,beached whale,does,Bugatti
11,Bugatti,ain,t exactly street
12,two six-figure SUVs,in,Model X
12,The X5 M,in,Model X
12,six figures,on,something
12,something,s,supercar isn
12,something,s,days
12,super sedans,as,BMW M5
12,super sedans,as,Porsche Panamera
12,super SUVs,as,BMW X5 M
12,super SUVs,as,"Tesla Model X. Both cool , attention-grabbing"
12,apples,to,oranges
12,apples,to,internal combustion
12,oranges,to,pure EV tech
12,internal combustion,to,pure EV tech
12,0-60 mph,in,4 seconds
12,0-60 mph,in,flat
12,0-60 mph,in,Model X
12,3.2,without,sound of thunderous twin-turbo V8
12,your opinion,on,Tesla
12,rear falcon doors,on,Tesla
13,massive sinkhole,swallowed,eight historic Corvettes last year
13,approximately four months,to,original glory
13,"1,200 man-hours",to,original glory
13,Corvette,to,original glory
13,original glory,say,effort
13,effort,was moved to,GM ' S Design ' s Mechanical Assembly Group and Service Operations
13,effort,was moved to,30 craftspeople
13,GM ' S Design ' s Mechanical Assembly Group and Service Operations,as,technicians
13,30 craftspeople,as,technicians
13,technicians,went to work on,effort
13,Mark Reuss General Motors Executive Vice President,disassembled,effort
13,effort,found that,each employee
13,each employee,involved in building,effort
13,effort,had signed,part of car
13,parts,carried,signature
13,Only two signed components,were,team
13,team,managed to scan,autographs
13,autographs,onto,parts carried signature
13,only second Corvette,following,""" Blue Devil "" prototype"
13,GM,following,""" Blue Devil "" prototype"
13,""" Blue Devil "" prototype",have to say that,C4
14,Brabus,has created,insane monster
14,Brabus,has created,Brabus 850 6.0 Biturbo G63 Widestar
14,name,would imply,G63 Widestar
14,G63 Widestar,packs,incredible turbocharged V8 engine
14,incredible turbocharged V8 engine,pumps out,838 hp
14,incredible turbocharged V8 engine,pumps out,"1,069 lb-ft of torque"
14,astonishing bump,of,approximately 200 hp
14,astonishing bump,of,300 lb-ft
14,approximately 200 hp,over,6.0-liter V12
14,300 lb-ft,over,6.0-liter V12
14,6.0-liter V12,found in,already zany Mercedes-AMG G65 AMG
14,ludicrous amount of power,has increased,original 5.5-liter V8
14,Brabus,has increased,original 5.5-liter V8
14,original 5.5-liter V8,to,6.0 liters
14,6.0 liters,by boring out,cylinders
14,cylinders,installing,larger forged pistons
14,lot,of,other engine work
14,other engine work,under,hood
14,other engine work,under,standard turbos
14,hood,have been replaced by,larger compressor units
14,standard turbos,have been replaced by,larger compressor units
14,larger compressor units,while,intake and charge air pipes
14,intake and charge air pipes,have been fitted with,"special "" gold heat reflection"
14,deeper growl,has been fitted with,Brabus sport exhaust system
14,SUV,has been fitted with,Brabus sport exhaust system
14,Brabus sport exhaust system,with,stainless steel dual-side tailpipes
14,G63 Widestar,can get to,62 mph
14,62 mph,in,4.0 seconds
14,4.0 seconds,is limited to,top speed of 162 mph
14,Brabus 850 G63 Widestart,at,year
14,year,s,Frankfurt Motor Show
15,The entire proceedings,at,Dallas Auction
15,NASCAR,know,Richard Petty
15,NASCAR Championship seven,has,own shop
15,own shop,as,museum
15,The racing legend,has donated,special-built 2015 Ford Mustang
15,special-built 2015 Ford Mustang,features,customizations
15,customizations,by,Petty-garage
15,Petty-garage,for,auction
15,The entire proceedings,from,vehicle
15,vehicle,will benefit,Paralyzed Veterans of America ( PVA )
15,vehicle,will benefit,organization
15,not fan of American culture,is,sight
15,NASCAR,is,sight
15,special Mustang,is,sight
15,special Mustang,features,Petty
15,special Mustang,features,infamous blue color combination
15,Petty ' s garage signature rear spoiler,as,three-piece HRE VMC forge aluminum wheels
15,three-piece HRE VMC forge aluminum wheels,complement,two-tone Petty Blue
15,three-piece HRE VMC forge aluminum wheels,complement,black paint job
15,eye-catching exterior,features,performance parts
15,special Mustang,features,performance parts
15,performance parts,make,coupe
15,special Mustang,has been fitted with,Roush TVS 2300 Supercharger
15,Roush TVS 2300 Supercharger,with,cold-air intake
15,Roush TVS 2300 Supercharger,with,Magnaflow exhaust
15,vehicle,comes with,"Petty-branded "" Big Brake Kit "" Willwood brakes"
15,vehicle,comes with,Petty ' s garage front and rear coil-overs
15,vehicle,is going on,sale
15,sale,without,reserve
15,reserve,with,Mecum Auctions
15,Mecum Auctions,at,Dallas Auction
15,Dallas Auction,from,September 16-19
16,This particular model,at,Porsche of San Diego
16,A gorgeous Continental Orange Porsche 918 Spyder,with,Weissach package
16,sale,at,Porsche of San Diego
16,photos,on,hypercar
16,specs,on,hypercar
16,awesome paint job,boosts,918 ' s performance
16,A gorgeous Continental Orange Porsche 918 Spyder,boosts,918 ' s performance
16,918 ' s performance,by reducing,car
16,918 ' s performance,by reducing,weight
16,car,by,99 pounds
16,weight,by,99 pounds
16,standard 918 wheels,with,magnesium units
16,magnesium units,as installing,lighter brake system
16,magnesium units,as installing,light-weight ceramic wheel bearings
16,magnesium units,as installing,titanium chassis bolts
16,A gorgeous Continental Orange Porsche 918 Spyder,is powered by,4.6-liter V8 engine
16,hybrid electric drive system,produces,total of 887 horsepower
16,hybrid electric drive system,produces,944 lb-feet of torque
16,A gorgeous Continental Orange Porsche 918 Spyder,has,top speed of 214 mph
16,60 mph,in,mere 2.5 seconds
16,This particular model,is on,sale
16,sale,for,"150,000"
16,"150,000",over,list price
16,list price,at,$ 1.03 million
16,Thanks,to,Ryan Antisdel
16,Ryan Antisdel,for,tip
16,Ryan Antisdel,for,photos
17,question,in,light of contract negotiations
17,light of contract negotiations,between,Fiat Chrysler
17,light of contract negotiations,between,United Auto Workers Union
17,light of contract negotiations,between,Connor Avenue Assembly Plant
17,light of contract negotiations,between,Viper
17,No successor,is planned,Challenger SRT Hellcat
17,Viper,has become,Dodge ' s halo model
17,Challenger SRT Hellcat,has become,Dodge ' s halo model
17,my incurable car geekiness ( think we can relate ),researched,some Viper prices
17,profit,researched,some Viper prices
17,1993 Viper RT/10,for,"less than $ 35,000"
17,Mileage,below,"50,000"
17,any good fine wine,expect,value
17,any good fine wine,expect,time
17,Dodge,gives,Viper axe
18,Anyone,has thrown,paper airplane
18,paper airplane,in,class
18,aerodynamics,play,huge factor
18,huge factor,in,performance
18,automotive engineers,were,airplane-throwing goofs
18,Every model,seems to feature,aerodynamic technology
18,Every model,seems to feature,fuel economy
18,aero obsession,to,tires
18,car,to,tires
18,research,on,type of technology
18,type of technology,involves placing,fins
18,fins,on,sidewall of tire
18,fins,on,drag
18,sidewall of tire,improve,fuel economy
18,drag,improve,fuel economy
18,Yokohama,claims that,technology
18,automakers,fighting for,every extra mpg
18,automakers,fighting for,racing teams
18,every extra mpg,striving to knock off,every tenth
18,racing teams,striving to knock off,every tenth
18,every tenth,of,second
18,every tenth,of,possible
18,technology,appear on,race cars
18,technology,appear on,passenger cars
18,race cars,in,next few years
18,passenger cars,in,next few years
19,Max Siedentopf,is,Dutch artist
19,Max Siedentopf,is,photographer
19,Dutch artist,turns,ordinary cars
19,photographer,turns,ordinary cars
19,ordinary cars,into,supercars
19,Max Siedentopf,as,""" tuner"
19,""" tuner",because,Max Siedentopf
19,Max Siedentopf,uses masking,tape
19,Max Siedentopf,uses masking,cardboard
19,Max Siedentopf,uses masking,ordinary econo boxes
19,tape,look like,supercars
19,cardboard,look like,supercars
19,ordinary econo boxes,look like,supercars
19,Max Siedentopf,In,interview
19,interview,with,Vice
19,interview,with,Max Siedentopf
19,Vice,talked about,individuality
19,Vice,talked about,self-expression
19,Max Siedentopf,talked about,individuality
19,Max Siedentopf,talked about,self-expression
19,strange but great form,of,self-expression
19,people favor,by giving,them custom-made supercar
19,your not-so-hot hatch,with,cardboard wing and hood scoop
20,Tesla,in,Toyota
20,The war,for,fuel of future
20,automakers,around,world
20,government agencies,around,world
20,Tesla,are banking on,electricity
20,Tesla,are banking on,wheels of cars
20,many other automakers,are banking on,electricity
20,many other automakers,are banking on,wheels of cars
20,electricity,in,near future
20,electricity,in,Toyota
20,wheels of cars,in,near future
20,wheels of cars,in,Toyota
20,near future,seems that,Toyota
20,Toyota,has,other plans
20,Elon Musk ' s beliefs,thinks,electric cars
20,Toyota,thinks,electric cars
20,much,of,future
20,Japanese automaker,is counting on,gas/electric hybrids
20,Japanese automaker,is counting on,small portion of market and hydrogen fuel cell vehicles ( FCVs )
20,Japanese automaker,is counting on,roads
20,Toyota ' s reasoning,is that,electric cars
20,hydrogen,as,reliable fuel consumers
20,takes off,as,reliable fuel consumers
20,reliable fuel consumers,will prefer,Toyota
20,Toyota,to,battery power
20,Toyota,faces,major struggles
20,major struggles,if,Toyota
20,Toyota,wants to make,hydrogen revolution
20,only 12 hydrogen fuel stations,in,U.S.
20,"10,976 electric charging stations",including,personal electrical outlets
20,personal electrical outlets,that,EV owners
20,small automaker,like,Tesla
20,Tesla,can create,own formidable charging infrastructure
20,what Toyota,of,world
20,what Toyota,of,largest automakers
20,world,could do,Toyota
20,largest automakers,could do,Toyota
20,Toyota,flexes,muscles
21,The Mercedes-Benz S-Class Coupe,in,equivalent AMG C63 Night model
21,German luxury car manufacturer,in,equivalent AMG C63 Night model
21,""" Night Edition",in,equivalent AMG C63 Night model
21,The Mercedes-Benz S-Class Coupe,is,sleek-looking car
21,The Mercedes-Benz S-Class Coupe,is,German luxury car manufacturer
21,sleek-looking car,is expanding,German luxury car manufacturer
21,German luxury car manufacturer,with,special range
21,special range,known as,""" Night Edition"
21,""" Night Edition",to,what we
21,what we,saw in,equivalent AMG C63 Night model
21,Detroit Auto Show next month,will come with,series of aesthetic flourishes
21,Night Edition models,will come with,series of aesthetic flourishes
21,starters,has been lavished in,high-gloss black finish
21,distinctive radiator grille,has been lavished in,high-gloss black finish
21,mirror housings,in,side sill panels
21,inserts,in,side sill panels
21,S-Class Night Edition sportier look,have been adapted from,AMG ' s
21,front and rear aprons,have been adapted from,AMG ' s
21,German luxury car manufacturer,from,"standard model "" Night Edition "" badge"
21,"standard model "" Night Edition "" badge",has been fitted to,front wings
21,Mercedes-Benz,lettering to give,it premium look
21,high-gloss black finish,to,your liking
22,time,of,year
22,time,of,half of continental US
22,year,is on,verge
22,half of continental US,is on,verge
22,verge,of having,school
22,snow,while,other half
22,other half,is considering digging,jackets
22,winter attire they,bought,last year
22,Engineering Explained,have,slightly abridged version of spiel
22,tread,is,main difference
22,car,on,road
22,pavement,during,winter months
22,summer and winter tires,like,stick of butter
22,stick of butter,with,different melting points
22,Summer tires,have,rubber compound
22,traction,in,heat
22,The problem,is that,summer tires
22,summer tires,turn into,traction-free rock
22,other hand,are engineered to keep,balance
22,winter tires,are engineered to keep,balance
22,balance,at,much lower temperatures
22,grip,if,temperatures
23,Porsche,in,upcoming Detroit Auto Show
23,Porsche,on,"Monday , January 9"
23,Porsche,on,"Saturday , January 14"
23,Ford,in,upcoming Detroit Auto Show
23,Ford,on,"Monday , January 9"
23,Ford,on,"Saturday , January 14"
23,upcoming Detroit Auto Show,on,"Monday , January 9"
23,upcoming Detroit Auto Show,on,"Saturday , January 14"
23,"Monday , January 9",on,"Saturday , January 14"
23,Detroit,in,North America
23,2017 GT,in,upcoming Detroit Auto Show
23,2017 GT,on,"Monday , January 9"
23,2017 GT,on,"Saturday , January 14"
23,The prototype,in,upcoming Detroit Auto Show
23,The prototype,on,"Monday , January 9"
23,The prototype,on,"Saturday , January 14"
23,No one,in,upcoming Detroit Auto Show
23,No one,on,"Monday , January 9"
23,No one,on,"Saturday , January 14"
23,exactly what Corvette,in,upcoming Detroit Auto Show
23,exactly what Corvette,on,"Monday , January 9"
23,exactly what Corvette,on,"Saturday , January 14"
23,corner,of,year
23,corner,of,Ford
23,Porsche,of,year
23,Porsche,of,Ford
23,time,of,year
23,time,of,Ford
23,year,take,look
23,Ford,take,look
23,big reveals,expected at,upcoming Detroit Auto Show
23,upcoming Detroit Auto Show,opens to,press
23,press,on,"Monday , January 9"
23,"Monday , January 9",to,public
23,public,on,"Saturday , January 14"
23,"Saturday , January 14",running for,nine straight days
23,Detroit,is,biggest and most prominent car show
23,biggest and most prominent car show,in,North America
23,plenty,of,cool reveals
23,Ford,shocked,world
23,Ford,shocked,Porsche
23,world,revealed,2017 GT
23,Porsche,revealed,2017 GT
23,2017 GT,in,year we
23,year we,think,Porsche
23,Porsche,will be,GM 's turn
23,GM 's turn,given,recent spy shots of what we
23,recent spy shots of what we,assume to be,C7 Corvette
23,The prototype,features,aggressive aerodynamics kit
23,The prototype,features,huge rear wing
23,The prototype,features,Porsche
23,No one,knows,exactly what Corvette
23,Porsche,could be,updated version
23,updated version,of,Z06 's LT4
24,Last year,in,Illinois
24,Japanese automaker Mitsubishi,in,Illinois
24,Automotive News,in,The plant
24,Last year,closed,only North American factory
24,Japanese automaker Mitsubishi,closed,only North American factory
24,only North American factory,in,Illinois
24,Illinois,despite improving,sales
24,joint venture,with,Chrysler
24,report,by,Automotive News
24,report,by,company
24,Automotive News,called,Rivian
24,company,called,Rivian
24,Rivian,is in,talks
24,Rivian,is in,The plant
24,Rivian,has,plans
24,Rivian,has,$ 175 million
24,plans,in,The plant
24,$ 175 million,in,The plant
24,press release,from,Illinois Department of Commerce and Economic Opportunity
24,integrated portfolio of products,to,sustainable mobility
24,services,to,sustainable mobility
24,shift,to,sustainable mobility
24,The mission,is to create,solutions
24,solutions,redefine,traditional automotive economics
24,traditional automotive economics,remove,pain points of conventional ownership
25,your cars,using,series of boxes
25,A small long box,was for,hood of car
25,A small long box,was for,larger blocky box
25,front,was for,hood of car
25,front,was for,larger blocky box
25,hood of car,in,middle
25,larger blocky box,in,middle
25,middle,represented,passenger cabin
25,passenger cabin,at,rear
25,rear,was,one final box
25,one final box,for,trunk
25,wheel,arches underneath,front and rear box
25,middle box,had,Crayola masterpiece
25,boom,had,Crayola masterpiece
25,Crayola masterpiece,for,fridge
25,case you,didn,t notice
25,blame,on,auto industry
25,auto industry,for replacing,stout lines of 80 ' s
25,stout lines of 80 ' s,to,curvaceous jelly beans of 90 ' s
25,curvaceous jelly beans of 90 ' s,altered,car ' s silhouette
25,design of cars,like,Ford Taurus of mid 80 ' s
25,design of cars,like,it ' s shapely lines
25,cars,in,America
25,price of ownership,for,boxier cars
25,cars,like,ultra low drag coefficient Tesla Model S
26,lineup,to,point
26,point,that,M Division
