index,s1,r,s2
"77","managing editor at Kelly Blue Book Matt DeLorenzo","to","Biz Journal"
"78","FCA ’ s Conner Avenue Assembly plan","in","Detroit , MI"
"79","Ford","’ Ford","GT"
"79","GT","will be built by","Multimatic Inc"
"79","Multimatic Inc","is","Ford Ford in Canada"
"80","Superleggera version","testing on","Nurburgring"
"81","Connected Mobility Concept","based on","Q3 crossover"
"81","Connected Mobility Concept","features","electric longboard"
"82","W ö rthersee GTI Meet","in","Austria"
"83","Volkswagen","reveals","concept versions of the GTI"
"84","GTI Clubsport S","powered by","2.0-liter turbocharged four - cylinder"
"84","2.0-liter turbocharged four - cylinder","making","305 horsepower"
"85","first VTEC motor","in","1989"
"86","Honda","’ s","1.6-liter engine"
"87","top BMW executives executives","have top BMW executives their way to","China"
"88","BMW","will join","Mercedes"
"89","BMW sales chief Dr. Ian Robertson","spoke to","auto show attendees"
"90","X lineup","will see","M cars"
"91","M","with","FWD"
"91","M","with","front - biased AWD"
"92","Scottsdale , Arizona","’ s","DDW Partners"
"93","Motor Trend","losing","hosts"
"93","hosts","of","Ignition"
"93","hosts","of","Head to Head"
"93","Jason Cammisa","main","hosts"
"94","Carlos Lagos",",","former host"
"95","new host","of","Motor Trend"
"95","Jethro Bovington","will","new host"
"96","Mercedes","unveiled","Generation EQ concept"
"96","Mercedes","at","Paris Motor Show"
"96","Generation EQ concept","unveiled","Paris Motor Show"
"97","A","Teased","Paris"
"97","Mercedes","Teased","Paris"
"98","Frankfurt Auto Show","reveal","Mercedes - AMG Project One"
"98","Mercedes - AMG Project One",",","F1-powered hypercar"
"99","Japan","’","Aspark"
"99","Aspark","reveal","Owl"
"100","Dodge Challenger SRT","holds","fastest production car record"
"101","Bentley Continental GT Rally Edition","wasn ’ t built","Bentley"
"102","project","for","Supercar Megabuild"
"102","sale","on","eBay"
"103","blue leather interior","with","memory seats"
"104","Sayer",",","AI - controlled steering wheel"
"104","AI - controlled steering wheel","feature in","Future - Type"
"104","Future - Type","concept","Jaguar"
"105","Tech Fest","in","London"
"105","Sayer","is","voice - activated wheel"
"106","crowdfunded effort","send","two Dodge Viper ACRs"
"106","two Dodge Viper ACRs","to","Nurburgring"
"107","high speed tire failure","on","final straight"
"107","a lap","set","failed"
"108","G - Class","since","1979"
"109","Mercedes - AMG","new","G63"
"109","Mercedes - AMG","new","G65 Exclusive Edition"
"110","exterior","is","grey magno finish"
"111","G63","comes","5-twin - spoke alloy wheels"
"111","G65","features","ceramically polished light - alloys"
"112","Henrik Fisker","chosen","2018 Consumer Electronics Show"
"112","2018 Consumer Electronics Show","(","CES"
"113","Fisker EMotion","Set to directly rival","Tesla Model 3"
"113","Fisker EMotion","Set to directly rival","Faraday Future FF 91"
"114","Fisker , Inc","will also reveal","new EV technologies"
"114","Fisker , Inc","will also reveal","energy - dense battery pack"
"115","LIDAR technology","will handle the car ’ s","level 4 autonomous system"
"116","177-page BMW document","obtained by","supramkv.com"
"116","Toyota Supra","getting a pair of","BMW engine options"
"117","X2","derived from","X1"
"117","X2","given more aggressive styling reminiscent of","X2 Concept"
"117","X2 Concept","at","2016 Paris Auto Show"
"118","front - drive platform","will house","X2 sDrive 28i"
"118","front - drive platform","will house","all - wheel drive xDrive version"
"118","all - wheel drive xDrive version","of","X2 sDrive 28i"
"118","X2 sDrive 28i","powered by","turbocharged 2.0-liter inline - four"
"118","turbocharged 2.0-liter inline - four","producing","228 horsepower"
"119","2006 Subaru WRX Limited","used as","stunt car"
"119","2006 Subaru WRX Limited","for sale on","eBay"
"120","Nissan","announce","Midnight Edition package"
"120","Midnight Edition package","extended to include","Titan"
"120","Midnight Edition package","extended to include","Titan XD"
"120","Midnight Edition package","extended to include","Frontier"
"121","Altima","got the treatment at","2017 Chicago Auto Show"
"121","Murano","got the treatment at","2017 Chicago Auto Show"
"121","Pathfinder","got the treatment at","2017 Chicago Auto Show"
"121","Rogue","got the treatment at","2017 Chicago Auto Show"
"121","Sentra","got the treatment at","2017 Chicago Auto Show"
"122","Billy Hayes","of","Nissan North America"
"123","I - Pace","debuted at","LA Auto Show"
"124","Volkswagen AG","enlisting","Four Rings wing"
"125","Audi","’ s","e - tron - badged SUV"
"126","Fiat Chrysler Automobiles","(","FCA"
"127","Great Wall Motor Co","interested in buying","Jeep"
"128","Great Wall President Wang Fengying","emailed","Automotive News"
"129","Sasha Baron Cohen","’ s","The Dictator"
"130","Dartz owner and founder",",","Leonard Yankelovich"
"131","Mercedes - AMG GLS 63-based SUV","at","Gumball 3000 rally"
"132","authentic recreations of iconic cars","like","Jaguar XKSS"
"132","authentic recreations of iconic cars","like","Aston Martin DB4 GT"
"133","1965 Mustang donor car","packing","4.7-liter V8 engine"
"133","1965 Mustang donor car","packing","4.7-liter V8 engine"
"134","Volkswagen","all - new","Atlas"
"134","Volkswagen","redesigned","Tiguan"
"135","Touareg","price tag","50,000"
"136","Paul Buddin",",","Financial"
"136","Financial",",","McLaren"
"136","McLaren","new","Sheffield plant"
"136","Sheffield plant","have","10,000 carbon fiber monocoque chassis"
"137","5.2-liter twin - turbo V12","generating","600 hp"
"137","5.2-liter twin - turbo V12","generating","516 lb - ft of torque"
"138","DB11",",","V8-powered"
"138","V8-powered","serving","503 hp"
"138","V8-powered","serving","513 lb - ft of torque"
"139","Jay Leno","’","Ford GT"
"139","Lamborghini Aventador","with","matte black"
"139","Lamborghini Aventador","with","orange trim"
"140","Perodua Myvi","native","Daihatsu Boon"
"141","Aventador driver","clipped","Proton Persona"
"142","XE SV Project 8",",","Jaguar"
"143","Jaguar","the","legendary XJ220"
"143","Jaguar","reveal","C - X75"
"144","Spectre","the","James Bond film"
"145","F-150 Raptor","is","tough off - roader"
"146","someone Raptor","smashed","wooden fence"
"147","bystander Gabriel Mejia","saved","woman"
"148","Tickford","work on","Ford RS200"
"148","Tickford","work on","Sierra RS500"
"149","Tickford Bathurst ’ 77 Special","celebrates","40th anniversary"
"149","Allan Moffat","’ s","one - two win at Bathurst"
"149","Colin Bond","’ s","one - two win at Bathurst"
"150","upgrade package","includes","racing livery worn by the Falcon XC used in the 1977 race"
"150","upgrade package","includes","a set of distinctive 20-inch wheels"
"150","upgrade package","includes","high - performance supercharger"
"151","Ferrari","previously banned","Chris Harris Chris Harris"
"151","automotive journalists",",","Chris Harris Chris Harris"
"152","FXX K","more rare than","LaFerrari Aperta"
"153","Ferrari","’ s","1 - 2 - 3 finish at the 1967 24 Hours of Daytona"
"154","London - based dealer Hexagon Classics","is selling","Ferrari Daytona"
"155","Ferrari 365 GTB/4","converted into","Group 4 competition car"
"156","4.4-liter Colombo V12","cranked up to produce","450 hp"
"157","Paul Michaels",",","chairman of Hexagon Classics"
"158","BMW","unveiling","original X4 SUV"
"159","M Division","mingling with","SUVs"
"159","M Division","mingling with","BMW 's cars"
"160","C5 Chevrolet Corvette","rolled off the production line at","Bowling Green , Kentucky production plant"
"161","pop - up headlights","started with","C2"
"162","Preferred Equipment Group / Commemorative Edition package","features","polished wheels"
"162","Preferred Equipment Group / Commemorative Edition package","features","head up display"
"162","Preferred Equipment Group / Commemorative Edition package","features","memory package"
"162","Preferred Equipment Group / Commemorative Edition package","features","auto - dimming rearview mirror"
"163","7.5-liter V8","produced","224 horsepower"
"164","Moller International","’ s","M400 Skycar"
"164","M400 Skycar","demonstrated back in","2001"
"165","eight Rotapower engines","producing","combined 700 horsepower"
"166","Olivier Francois",",","Head of Fiat Brand and Chief Marketing Officer FCA"
"167","18-horsepower","produced by","500 cc engine"
"168","Bugatti Bugatti","with a glorious gathering of","Veyrons"
"168","Bugatti Bugatti","with a glorious gathering of","Chirons"
"168","Porsche","revealed","911 GT2 RS"
"169","Jaguar XE SV Project 8","won","Michelin Supercar Paddock Showstopper Trophy"
"170","Evora 400","based on","Exige Sport 350"
"170","Elise 250","based on","Exige Sport 350"
"171","Hethel",",","Norfolk"
"171","Norfolk",",","England"
"172","Jean - Marc Gales",",","Lotus Group CEO"
"173","The Grand Tour","debuted","full trailer"
"174","Pure McLaren Arctic Experience","a","travel package"
"175","Participants","travel","Ivalo"
"175","Participants","taken","J á vri Lodge"
"175","J á vri Lodge","previous","home"
"175","home","of","Finland"
"175","Finland","longest - serving","president"
"176","participants","use","570S"
"177","Genovation","turned","C6-generation Corvette"
"177","C6-generation Corvette","turned","fastest electric car"
"178","205.6 mph","on","Kennedy Space Center"
"178","NASA","'s","Kennedy Space Center"
"178","Kennedy Space Center","in","Florida"
"179","Model S","is","155 mph"
"180","Corvette GXE","has","44 kWh battery"
"181","2.0 second 0 - 60 mph run","make","2.0 second 0 - 60 mph run"
"182","Johan van Zyl",",","CEO"
"182","Johan van Zyl",",","Europe president"
"182","Toyota",",","Europe president"
"182","Toyota",",","CEO"
"183","sporting models","with","hybrid powertrains"
"184","NHTSA","issued","recall"
"184","recall","for","X3 xDrive28i"
"185","recall","states","electronic power steering"
"185","electronic power steering","(","EPS"
"186","BMW","rectify","no cost"
"187","RS","is to","Audi"
"187","AMG","is to","Mercedes"
"187","M","is to","BMW"
"188","BMW and Mercedes","expanding","performance portfolios"
"188","Audi","has lagged behind in offering","RS cars"
"189","Lamborghini Centenario","delivered to","US"
"189","Pagani Huayra BC","is now part of","prestigious car collection in Miami"
"190","Macchina Volante","named in tribute to","Leonardo da Vinci"
"191","BMW M","’ s","1 Series M Coupe"
"191","BMW M","’ s","M2"
"192","Dodge","released full pricing details for","2018 Challenger SRT Demon"
"193","Demon Crate option","includes","software to run high - octane racing gas"
"193","Demon Crate option","includes","pair of narrow front drag wheels"
"193","Demon Crate option","includes","conical performance air filter"
"193","Demon Crate option","includes","two valve stems"
"193","Demon Crate option","includes","passenger mirror block - off plate"
"193","Demon Crate option","includes","Demon - branded tools"
"194","Lamborghini Urus SUV","make a killing for","automaker"
"195","Bentayga","did for","Bentley"
"196","2018 Fiat 500L","features","40 percent new components"
"196","2018 Fiat 500L","features","aggressive styling"
"196","2018 Fiat 500L","features","off - road " trim"
"196","2018 Fiat 500L","features","Cross"
"196","2018 Fiat 500L","features","optional seven - seat versions"
"196","optional seven - seat versions","called","Wagon"
"196","optional seven - seat versions","called","Urban"
"197","Audi","bearing","TT Quattro Sport Concept"
"198","Spyker","revealed","C8 Preliator"
"198","Spyker","at","Geneva"
"198","C8 Preliator","at","Geneva"
"199","Mr. Muller",",","CEO"
"199","Mr. Muller",",","founder"
"199","Spyker",",","founder"
"199","Spyker",",","CEO"
"200","police","at","Normanby Hotel"
"200","Normanby Hotel","in","Brisbane"
"200","Brisbane",",","Australia"
"201","fined","for","unnecessary noise"
"202","Charger","based on","Mercedes E - Class"
"202","Challenger","based on","Mercedes E - Class"
"202","partnership","be","Charger"
"202","partnership","be","Challenger"
"203","Carfection","hands on","M - badged cars"
"204","BMW","'s","M2"
"204","M2","brings","turbocharged 3.0-liter"
"204","turbocharged 3.0-liter","with","365 hp"
"204","turbocharged 3.0-liter","with","343 lb - ft"
"205","Ginetta",",","British sports car maker"
"205","Ginetta","bid","Silverstone rights"
"206","MotorSport Vision","(","MSV"
"207","Blu Cepheus","looks absolutely sublime on","Huracan"
"208","Renato ” carbon - fiber aerodynamics package","adds","new front spoiler"
"208","Renato ” carbon - fiber aerodynamics package","adds","side skirts"
"208","Renato ” carbon - fiber aerodynamics package","adds","rear diffuser"
"208","Renato ” carbon - fiber aerodynamics package","adds","contoured rear wing"
"209","Huracan Performante","unveiled","Geneva Motor Show"
"209","Huracan Performante","set","Nurburgring lap record"
"210","5.2-liter V10","boosted by","30 hp"
"210","5.2-liter V10","boosted by","35 lb - ft of torque"
"211","Jalopnik","reported on","Porsche Cayman GT4"
"211","Porsche Cayman GT4","donated by","Lind Trust"
"211","Lind Trust",",","charity that aims to promote youth development in Norwich and Norfolk in the UK"
"212","naturally aspirated 3.8-liter flat - six","with","385 hp"
"212","naturally aspirated 3.8-liter flat - six","with","309 lb - ft of torque"
"213","BMW","'s","quad - turbo unit"
"213","Mercedes","offers","2.1-liter diesel engine"
"214","Diesels","under extreme scrutiny ever since","Volkswagen Dieselgate debacle"
"215","Apple","’ s","autonomous car project"
"216","Google","’ s","Waymo"
"217","California ’ s Department of Motor Vehicles","granted","Apple"
"218","Apple","working with","Bosch"
"219","Chris Theodore",",","president of an auto industry consulting firm"
"220","Apple","developing","self - driving technology"
"221","Hyundai","decided to spin off","Genesis"
"222","G80","(","a rebadged Genesis"
"222","G90","(","a rebadged Equus"
"223","GV80 SUV","at","New York Auto Show"
"224","RWD drivetrain","powered by","2.0-liter four - cylinder turbo"
"224","RWD drivetrain","powered by","3.3-liter V6 twin - turbo"
"225","Aston Martin DB5","once been owned by","Prince Sadruddin Aga Khan"
"225","Aston Martin DB5","up for sale with","Hexagon Classics"
"226","Connolly Leather Natural Hide","with","Beige Wilton carpets"
"227","4.0-liter straight - six engine","mechanically refurbished by","Pugsley & Lewis Ltd"
"228","2.0-liter turbocharged inline - four cylinder","with","280 horsepower"
"228","2.9-liter twin - turbo V6","pushing","505 horsepower"
"228","2.0-liter turbocharged inline - four cylinder","in","Giulia Quadrifoglio"
"228","2.9-liter twin - turbo V6","in","Giulia Quadrifoglio"
"228","2.0-liter four - banger","with","200 horsepower"
"228","2.2-liter diesel","with","150 horsepower"
"228","2.2-liter diesel","with","180 ponies"
"229","Alfa Romeo","decided to introduce","Alfa Romeo Veloce"
"230","Veloce","With","turbocharged four - cylinder engine"
"231","Toyota FT-4X Concept","is not a direct successor to","FJ Cruiser"
"232","Toyota","debut","New York Auto Show"
"233","Toyota ’ s studio design chief in California",",","Ian Cartabiano"
"234","Calty","(","Toyota ’ s California design studio"
"234","FT - X","becoming","Tundra"
"235","Nissan","update","370Z sports car"
"236","Christian Meunier",",","senior vice president at Nissan Sales"
"237","Ford","secret development of","GT"
"238","Mitsubishi","with","Eclipse Cross"
"239","Kia","’ s sister company","Hyundai"
"240","Ford","at work on","Fiesta lineup"
"241","Pebble Beach","concepts","Vision Mercedes - Maybach 6"
"242","Vision Mercedes - Maybach 6","not a car for","chauffeurs"
"243","X - Tomi Design","cut its roof off","Vision Mercedes - Maybach 6"
"244","Lamborghini","move over","4,000 cars"
"244","Lamborghini","keep pace with","Ferrari"
"245","Lamborghini","CEO","Stefano Domenicali"
"246","Kia Sedona","offer more","interior space"
"246","Chrysler Pacifica","offer more","interior space"
"247","three - row CUVs","like the","Santa Fe"
"248","Muscle cars","associated with","power"
"249","Ford Mustang","juxtaposed by","Dodge Challenger SRT Hellcat"
"249","Chevrolet Camaro","juxtaposed by","Camaro ZL1"
"250","American Customer Satisfaction Index","in","Ann Arbor , Michigan"
"251","Ford","beat out","GM"
"251","Ford","beat out","FCA"
"252","Volkswagen","dealing with","Dieselgate scandal"
"253","The Quail","event that 's part of","Monterey Car Week"
"254","Land Rover Range Rover Velar","debut at","Geneva Motor Show"
"255","Velar","is","mid - sized Range Rover"
"256","Porsche","revealed","911 GT3"
"256","911 GT3","at","Geneva"
"256","911 GT3","with","optional manual gearbox transmission"
"257","GT3 RS","will only come with","PDK PDK - clutch automatic transmission"
"258","Andreas Preuninger",",","head of Porsche GT cars"
"259","2018 the new Crosstrek","rides on","Subaru Global Platform"
"259","Subaru Global Platform","(","SGP"
"260","2.0-liter boxer engine","with","direct injection"
"261","Citroen","just bought","Opel"
"261","Citroen","just bought","Vauxhall"
"262","Peugeot","debut","Instinct Concept"
"263","Top Gear","caught up with","Tobias Moers"
"263","Tobias Moers",",","head honcho at Mercedes - AMG"
"263","Top Gear","during","Geneva Motor Show"
"264","Tobias Moers","gave up some pretty juicy details to","Top Gear"
"265","Mercedes - AMG","will do","Nurburgring run"
"266","AC Schnitzer","brought","Bimmers"
"266","Bimmers","to","2017 Geneva Motor Show"
"266","AC Schnitzer","celebrate","30th anniversary"
"267","US","acknowledges the observations of","Consumer Reports"
"268","NHTSA investigation","into","FCA cars"
"269","Chrysler Pacifica",",","FCA cars"
"269","200",",","FCA cars"
"269","FCA cars","equipped","rotary shifters"
"270","FCA","was under fire in","2016"
"271","sprightly sports cars","such as","Elise"
"271","sprightly sports cars","such as","Exige"
"271","sprightly sports cars","such as","Evora 400"
"272","British carmaker Lotus chief executive",",","Jean - Marc Gales"
"273","Evora Roadster","from","British carmaker Lotus"
"274","Turn 10 Studios","makes","Forza racing series"
"274","Forza racing series","for","Xbox"
"275","carbon fiber order kit","from","Ford"
"276","Aston Martin RM01 hypercar","designed in collaboration with","Red Bull"
"277","Porsche 911","on sale at","Mark Donaldson"
"278","Porsche","built","993-generation 911 GT1s"
"278","3.2-liter boxer engine","delivering","600 horsepower"
"278","600 horsepower","through its","6-speed synchromesh gearbox"
"279","a Ferrari",",","1967 330 GTS"
"280","4.0-liter ( naturally aspirated , of course ) V12","with","300 hp"
"280","4.0-liter ( naturally aspirated , of course ) V12","with","245 lb - ft of torque"
"281","GTC","succeeded by","365 GTC"
"282","Naples Auto Collection","in","Fort Meyers , Florida"
"283","LS7 V8","used in","C6 Corvette Z06"
"283","LS7 V8","produced","505 hp"
"283","LS7 V8","produced","481 lb - ft of torque"
"284","Mercedes - Benz","hosting presentations on","self - driving cars"
"284","R50 hybrid hypercar","in development by","Mercedes - AMG"
"285","championship winning Formula One car","with","1.6-liter turbocharged V6 engine"
"285","1.6-liter turbocharged V6 engine","paired with","electric motors"
"286","Subaru","unveiled","2018 WRX"
"286","Subaru","unveiled","STI"
"287","2.0-liter engine","producing","268 hp"
"287","STI","'s","2.5-liter engine"
"287","2.5-liter engine","making","305 hp"
"288","Dodge Demon","is","840-hp"
"288","Dodge Demon","longer","production"
"289","Michael Andretti",",","IndyCar champion"
"289","Michael Andretti",",","F1 driver"
"289","Michael Andretti","son","Mario Andretti"
"290","Michael Andretti","won","CART PPG Indy Car World Series"
"290","Michael Andretti","won","42 race victories"
"290","Michael Andretti","in his","racing career"
"291","Project One","debuted","Frankfurt"
"291","Mercedes - AMG","-","Project One"
"291","Mercedes - AMG","rename","Project One"
"292","AMG One","testing at","secret facility"
"292","secret facility","in","England"
"293","Mercedes - AMG F1","headquartered","UK"
"294","Rodeo Edition","of","2500/3500 pickup"
"295","Jim Morrison",",","Head of Ram Truck Brand"
"296","Ram Rodeo edition","include","body - colored bumpers"
"296","Ram Rodeo edition","include","side - steps"
"297","Ram 3500","receive","17-inch polished aluminum wheels"
"298","BMW","’","G20-generation 3 Series"
"299","Honda","AT","Frankfurt Motor Show"
"299","Honda","unveiled","CR - V Hybrid"
"300","production - ready","debut","Paris Auto Show"
"301","Honda","confirmed","technical specifications"
"302","European CR - V Hybrid","powered","four - cylinder 2.0-liter i - VTEC gasoline engine"
"303","Mercedes",",","X - Class"
"304","X - Class","a","V6 engine"
"304","Nissan / Renault","a","V6 engine"
"305","Tobias Moers","boss","AMG"
"305","AMG X - Class",",","never"
"306","Lotus","’","70th anniversary"
"307","Lotus","hand - built","Mark 1"
"307","Mark 1","hand - built","Colin Chapman"
"307","Mark 1","hand - built","London"
"308","Volkswagen","has been rolling out a string of","electric - vehicle concepts"
"309","all - electric crossover concept","tipped to be called","ID Lounge"
"309","all - electric crossover concept","at","Shanghai Motor Show"
"310","Cadillac XT6 crossover","Expected to debut","2019 Detroit Auto Show"
"311","second - generation FX models","sold with","3.7-liter V6"
"311","3.7-liter V6","producing","325 horsepower"
"312","5.0-liter VK50VE V8 engine","produced","390 horsepower"
"312","5.0-liter VK50VE V8 engine","produced","369 lb - ft of torque"
"313","2000s Mercedes - Benz SLR McLaren","was the product of a collaboration between","Mercedes - Benz"
"313","2000s Mercedes - Benz SLR McLaren","was the product of a collaboration between","McLaren Automotive"
"314","1999 concept vision SLR","was an homage to","1955 300 SLR race car"
"315","SLR","stands for","Sport Light Racing"
"316","Invisive Design Studio","reimagined","Vision SLR"
"316","Invisive Design Studio","taking its design cues from","contemporary Mercedes - Benz models"
"317","Audi","unveiled","2019 A4"
"317","2019 A4","is lagging behind","BMW 3-Series"
"317","2019 A4","is lagging behind","Mercedes C - Class"
"318","A4","older than","A5"
"318","A4","older than","A6"
"318","A4","older than","A7"
"318","A4","older than","A8"
"319","discontinued models","include","Chevy Cruze"
"319","discontinued models","include","Volt"
"319","discontinued models","include","Impala"
"319","discontinued models","include","Buick LaCrosse"
"319","discontinued models","include","Cadillac CT6"
"319","discontinued models","include","XTS"
"320","Arden Auto Tuning","is","German tuning company"
"321","Arden Auto Its latest project","is","Arden Jaguar F - Type AJ 23 SVR"
"322","AJ 23 SVR","nicknamed","' Race Cat"
"323","703 hp","accompanied by","644 lb - ft of torque"
"324","Ford Mustang","captured the spirit of","1960s"
"324","Ford Model T","captured the spirit of","1920s"
"324","Tesla Model S","will eventually represent","2010s"
"325","the Ferrari 308","can thank","Magnum , P.I"
"325","Magnum , P.I","and P.I. mustachioed P.I","Tom Selleck"
"326","Tom Magnum","drove","308 GTS"
"327","1984 the Ferrari 308 308 GTB","recently appeared on","Jay Leno ’ s Garage"
"328","Nissan Leaf E - Plus","at","LA Auto Show"
"329","Autoblog","citing a rumor from","German publication Electrive"
"329","2019 Consumer Electronics Show","(","CES"
"329","2019 Consumer Electronics Show","in","Las Vegas"
"330","Nissan","re - scheduled","Leaf E - Plus ’ s reveal"
"331","Audi","unveiling","new electric crossovers"
"331","Mercedes","unveiling","new electric crossovers"
"331","BMW","set to reveal","iX3"
"332","i3","may not last beyond","2021"
"332","i8","may not last beyond","2021"
"333","BMW","reveal","i3S"
"333","i3S","with","184 horsepower electric motor"
"334","Nissan","has high expectations for","Altima sedan"
"335","Bruce Pillard","Speaking with","The Detroit Bureau"
"336","Volvo","continuing to sell","V90 wagon"
"336","Volvo","bringing","V60 wagon"
"337","Volvo","builds","V90 CrossCountry"
"337","V90 CrossCountry","is essentially","V90 wagon"
"338","Volvo","will give the CrossCountry treatment to","V60"
"339","Porsche","will strive to be","fully electric automaker"
"340","Porsche","wants Porsche lineup to feature","electric vehicles"
"341","Porsche","will continue to offer","911"
"341","911","with","internal combustion engine"
